"","artist","n"
"1","'t hof van commerce",10
"2","!!!",1
"3","*nsync",3
"4","0cc",2
"5","10 cc",19
"6","10.000 maniacs",4
"7","100%",1
"8","100% ft. jennifer john",5
"9","1000 ohm",3
"10","101",2
"11","10cc",22
"12","112",7
"13","112 (one twelve)",2
"14","13798 power intro",1
"15","17. jebroer",1
"16","1900",2
"17","19eighty7",1
"18","2 belgen",29
"19","2 black",6
"20","2 brothers on the 4th floor",17
"21","2 brothers on the 4th floor ft. des'ray and d-rock",3
"22","2 fabiola",24
"23","2 fabiola ft. loredana",9
"24","2 live crew",7
"25","2 many dj's & destiny's child",3
"26","2 pac ft. dr dre & roger troutman",7
"27","2 unlimited",17
"28","2pac",23
"29","2pac + mia",1
"30","2pac + u2",1
"31","2pac and dr dre",6
"32","2pac ft. dr dre",2
"33","2pac ft. dr. dre",4
"34","3 a.m. band",1
"35","3 doors down",21
"36","3 drives on a vinyl",1
"37","3 j's",5
"38","3 jays (the)",1
"39","3 js",2
"40","35 eric prydz",1
"41","3ma",2
"42","4 non blondes",30
"43","4 strings",2
"44","5 after midnight",2
"45","5 seconds of summer",22
"46","50 cent",15
"47","50 cent ft. akon",3
"48","50 cent ft. justin timberlake",4
"49","50 cent ft. olivia",2
"50","5000 volts",4
"51","69. kate ryan",1
"52","808 state",1
"53","98 degrees and stevie wonder",4
"54","99 souls ft. destiny's child & brandy",2
"55","a-ha",50
"56","a-trak & baauer",3
"57","a-trak ft. jamie lidell",3
"58","a-vier",1
"59","a brand",4
"60","a cause des garcons",1
"61","a flock of seagulls",8
"62","a great big world ft. christina aguilera",9
"63","a taste of honey",2
"64","a teens",5
"65","a tribe called quest",8
"66","a$ap ferg ft. nicki minaj",1
"67","a$ap rocky ft. drake 2 chainz & kendrick lamar",1
"68","a+",7
"69","a3aan drost",5
"70","aafke romeijn",1
"71","aaliyah",3
"72","ab-soul (feat. anderson .paak & james blake)",1
"73","abba",259
"74","abc",45
"75","abdul hassan & orchestra",2
"76","abdul hassan orchestra",4
"77","abel",35
"78","above & beyond ft. richard bedford",1
"79","above & beyond ft. zoe johnston",2
"80","absynthe minded",90
"81","ac dc",1
"82","ac/dc",42
"83","acda & de munnik",3
"84","acda en de munnik",2
"85","ace",1
"86","ace of base",41
"87","acid arab",1
"88","acker bilk",1
"89","action bronson ft. chance the rapper",1
"90","action bronson ft. dan auerbach & mark ronson",1
"91","ad van meurs",1
"92","adam and the ants",5
"93","adam ant",1
"94","adam cohen",1
"95","adam lambert",12
"96","adamo",24
"97","adamski and seal",9
"98","adamski ft. & seal",1
"99","adamski ft. seal",23
"100","addy kleyngeld",1
"101","adele",275
"102","adele bloemendaal ft. piet romer & leen jongewaard",1
"103","adeva",5
"104","admiral freebee",37
"105","admiral freebee & nathalie delcroix",2
"106","adriaan drost",45
"107","adrian gurvitz",1
"108","adrian lux",1
"109","adrian lux & savage skulls ft. soul",9
"110","adriano celentano",4
"111","advance",1
"112","adventures of stevie v",6
"113","adya",2
"114","aeroplane",2
"115","aerosmith",31
"116","aerosmith and run dmc",1
"117","afghan whigs",3
"118","afric simone",5
"119","african women all stars",1
"120","afrika bambaataa & ub40",4
"121","afrika bambaataa and family",1
"122","afro medusa",1
"123","afrojack",2
"124","afrojack ft. chris brown",2
"125","afrojack ft. eva simons",3
"126","afrojack ft. mike taylor",1
"127","afrojack ft. shermanology",3
"128","after all",2
"129","age of love",9
"130","agnes",1
"131","agnes obel",7
"132","agnetha faltskog",2
"133","agoria",3
"134","ahzee",1
"135","aimee mann",1
"136","air",13
"137","air supply",12
"138","air traffic",35
"139","aissa",105
"140","ajr",63
"141","aka the junkies",1
"142","akon",4
"143","akon ft. eminem",2
"144","akon ft. snoop dogg",2
"145","aksak maboul",1
"146","al b sure",1
"147","al bano & romina power",4
"148","al bano and romina power",1
"149","al bano ft. romina power",4
"150","al green",20
"151","al hudson",2
"152","al hudson & the partners",4
"153","al jarreau",25
"154","al johnson",2
"155","al martino",7
"156","al stewart",8
"157","alaa wardi",1
"158","alabama",2
"159","alabama shakes",9
"160","alaia & gallo ft. kevin haden",1
"161","alain barriere",3
"162","alain barrière",2
"163","alain chamfort",4
"164","alain souchon",2
"165","alan braxe & fred falke",2
"166","alan jackson",3
"167","alan parsons project",14
"168","alan stivell",2
"169","alan theo",4
"170","alan walker",41
"171","alan walker & noah cyrus",20
"172","alan walker ft. noah cyrus",68
"173","alan walker ft. noah cyrus & digital farm animals",4
"174","alan walker noah cyrus & digital farm animals",1
"175","alana dante",4
"176","alanah miles",5
"177","alanis morissette",63
"178","alannah myles",13
"179","albert hammond",28
"180","alcazar",44
"181","alela diane",4
"182","alesha dixon",3
"183","alessia cara",3
"184","alesso",10
"185","alesso & anitta",34
"186","alesso ft. matthew koma",1
"187","alesso ft. roy english",4
"188","alesso ft. tove lo",7
"189","alesso vs. one republic",3
"190","alex",8
"191","alex adair",7
"192","alex gaudino ft. crystal waters",4
"193","alex gopher",1
"194","alex harvey",2
"195","alex metric x ten van",1
"196","alexander curly",6
"197","alexander o' neal",6
"198","alexander o'neal",1
"199","alexander o'neal & cherrelle",12
"200","alexander rybak",5
"201","alexandre tharaud et vanessa paradis",2
"202","alexis jordan",9
"203","alfred martens",2
"204","ali b ft. diggy dex",3
"205","ali b ft. dopebwoy & lil wayne",2
"206","ali farka touré and toumani diabate",1
"207","ali g & shaggy",1
"208","alice & battiato",5
"209","alice & franco battiato",1
"210","alice cooper",20
"211","alice deejay",1
"212","alice gold",2
"213","alice on the roof",1
"214","alicia bridges",9
"215","alicia keys",59
"216","alicia keys ft. nicki minaj",21
"217","alien ant farm",2
"218","alison krauss",3
"219","alison limerick",1
"220","alison moyet",35
"221","alizee",13
"222","all-4-one",2
"223","all 4 one",7
"224","all saints",28
"225","allan theo",5
"226","alle 13 jaanke",2
"227","alle farben ft. graham candy",2
"228","allez allez",7
"229","allez allez ft. kyoko",1
"230","alliance ethnik",2
"231","alma",7
"232","alma & french montana",16
"233","alma ft. french montana",5
"234","aloe blacc",46
